timestamp,value,metric_name,instance,job,job_name,namespace,owner_is_controller,owner_kind,owner_name
2025-06-25 07:22:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180601,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:22:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180602,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:23:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180602,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:23:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180603,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:24:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180603,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:24:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180604,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:25:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180604,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:25:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180605,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:26:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180605,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:26:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180606,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:27:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180606,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:27:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180607,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:28:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180607,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:28:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180608,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:29:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180608,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:29:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180609,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:30:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180609,nimbusguard,true,CronJob,traffic-simulator
