timestamp,value,metric_name,container,instance,job,namespace,pod,reason,uid
2025-06-26 09:07:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-kxpsr,CrashLoopBackOff,54d4bfca-9ebf-4927-a447-5556c8ff3037
2025-06-25 08:29:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-l5g4w,ContainerCreating,aa072a2d-844f-48d3-9d6b-ca96c8a583c2
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-l77pb,ContainerCreating,37db846d-4add-4087-b592-c7168296d632
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-lmfqj,ContainerCreating,e3d061ce-98cf-461c-b4b8-80e09dad78fd
2025-06-25 08:56:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-lxxzb,CrashLoopBackOff,c1f04b3d-f76a-4127-90a9-f25430446942
2025-06-25 14:51:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-mdwb7,CrashLoopBackOff,f2eab5d0-bdd4-4d83-a6b7-425a311b9f7f
2025-06-25 17:00:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-mdwb7,CrashLoopBackOff,f2eab5d0-bdd4-4d83-a6b7-425a311b9f7f
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-mgm8z,ContainerCreating,5f7ce18b-59e6-4934-9dcd-96cfc6ab6259
2025-06-25 13:39:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-mwjrr,CrashLoopBackOff,cc5a1173-d27a-4d4f-ab20-63ce6d29f2a7
2025-06-25 13:50:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-mwjrr,CrashLoopBackOff,cc5a1173-d27a-4d4f-ab20-63ce6d29f2a7
