timestamp,value,metric_name,cronjob,instance,job,namespace
2025-06-25 07:49:54,15627,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 07:50:54,15627,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 07:51:54,15627,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 07:52:54,15627,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 07:53:54,15627,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:25:54,15627,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:26:54,15894,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:27:54,15894,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:28:54,16632,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:29:54,16862,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:30:54,17595,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:31:54,17838,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:32:54,18117,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:33:54,18328,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:34:54,18573,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:35:54,18769,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:36:54,19170,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:37:54,19401,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:38:54,19663,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:39:54,19877,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:40:54,20150,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:41:54,20455,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:42:54,20679,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:43:54,20987,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:44:54,21228,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:45:54,21469,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:46:54,22272,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:47:54,22497,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:48:54,22691,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-06-25 08:49:54,22880,kube_cronjob_metadata_resource_version,traffic-simulator,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard
