timestamp,value,metric_name,collector,instance,job
2025-07-05 07:39:06,0.00019375,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,0.000198875,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,0.000220083,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:42:06,0.000286417,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,0.000242667,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,0.000321709,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,0.000541209,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,0.00076075,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,0.000484459,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,0.00073825,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,0.00034025,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,0.000696833,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,0.002440834,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,0.052192667,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,0.000855416,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,0.00010675,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,0.000304041,node_scrape_collector_duration_seconds,arp,172.18.0.4:9100,prometheus.scrape.annotated_pods
