timestamp,value,metric_name,certificatesigningrequest,condition,instance,job,signer_name
2025-07-05 08:06:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:07:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:08:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:09:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:10:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:11:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:12:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 08:13:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:17:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:18:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:19:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:20:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:21:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:22:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:23:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:24:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:25:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:26:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:27:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:28:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:29:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:30:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:31:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:32:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:33:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:34:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:35:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:36:44,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
