timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-07-12 05:42:28,31.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:43:28,33.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:44:28,96.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:45:28,72.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:46:28,47.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:47:28,37.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:48:28,68.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:49:28,101.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:50:28,94.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:51:28,114.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:52:28,72.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:53:28,61.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:54:28,49.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:55:28,53.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:56:28,34.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:57:28,117.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:58:28,86.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:59:28,47.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:00:28,38.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:01:28,42.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:02:28,37.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:03:28,53.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:04:28,65.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:05:28,86.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:06:28,54.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:07:28,5.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:08:28,6.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:09:28,5.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:10:28,6.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:11:28,5.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:12:28,5.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:13:28,5.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:30:28,49287168.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:31:28,46215168.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:32:28,143972352.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:33:28,293638144.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:34:28,161536682.666,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:35:28,147303703.272,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:36:28,119732224.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:37:28,144361658.181,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:38:28,144361658.181,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:39:28,144361658.181,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:40:28,144361658.181,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:41:28,144361658.181,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:42:28,148470442.666,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:43:28,61487616.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:44:28,180992292.571,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
