timestamp,value,metric_name,instance,job,namespace,replicaset
2025-07-12 05:35:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:36:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:37:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:38:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:39:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:40:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:41:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:42:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:43:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:44:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:45:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:46:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
