timestamp,value,metric_name,instance,job,namespace,owner_is_controller,owner_kind,owner_name,replicaset
2025-07-12 06:09:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:10:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:11:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:12:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:13:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 05:29:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:30:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:31:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:32:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:33:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:34:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:35:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:36:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:37:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:38:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:39:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:40:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
