timestamp,value,metric_name,instance,job,namespace,pod,uid
2025-07-06 01:33:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:34:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:35:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:36:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:37:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:18:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
2025-07-06 01:19:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
2025-07-06 01:20:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
2025-07-06 01:21:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
2025-07-06 01:22:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
2025-07-06 01:33:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
2025-07-06 01:34:05,1751764634,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196077-6xxv5,bfff3c55-9a6e-458a-9065-d9c53c559403
