timestamp,value,metric_name,component_id,component_path,instance,job,otel_scope_name,receiver,transport
2025-07-05 18:16:05,15219,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:17:05,15824,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:18:05,16577,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:19:05,17201,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:20:05,17912,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:21:05,18569,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:22:05,19293,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:23:05,19970,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:24:05,20808,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
2025-07-05 18:25:05,21492,otelcol_receiver_accepted_spans_total,otelcol.receiver.otlp.default,/,alloy:8080,alloy-metrics,go.opentelemetry.io/collector/receiver/receiverhelper,otlp/otelcol.receiver.otlp.default,http
