timestamp,value,metric_name,component_id,component_path,instance,job,le,remote_name,url
2025-07-13 18:03:48,21829,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:04:48,22115,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:05:48,22400,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:06:48,22691,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:07:48,22984,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:08:48,23271,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:09:48,23553,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:10:48,23833,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:11:48,24123,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:12:48,24406,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:13:48,24680,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:14:48,24950,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:15:48,25222,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:25:48,8997,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:26:48,9224,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:27:48,9436,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:28:48,9645,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:29:48,9859,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:30:48,10101,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:31:48,10331,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:32:48,10557,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:33:48,10782,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:34:48,11006,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:35:48,11215,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:36:48,11430,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:37:48,11669,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:38:48,11907,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:39:48,12151,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:40:48,12400,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:41:48,12665,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:42:48,12922,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:43:48,13183,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:44:48,13431,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:45:48,13677,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:46:48,13932,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:47:48,14185,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:48:48,14447,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:49:48,14705,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:50:48,14968,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:51:48,15233,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:52:48,15498,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:53:48,15760,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:54:48,16014,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:55:48,16276,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:56:48,16535,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:57:48,16793,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:58:48,17059,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:59:48,17317,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:00:48,17575,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:01:48,17834,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:02:48,18095,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:03:48,18353,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:04:48,18614,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:05:48,18870,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:06:48,19134,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:07:48,19371,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:08:48,19602,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:09:48,19822,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:10:48,20041,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:11:48,20281,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:12:48,20515,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:13:48,20731,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:14:48,20953,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:15:48,21178,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.005,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:25:48,10304,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:26:48,10562,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:27:48,10816,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:28:48,11069,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:29:48,11329,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:30:48,11604,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:31:48,11871,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:32:48,12128,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:33:48,12382,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:34:48,12633,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:35:48,12879,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:36:48,13132,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:37:48,13388,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:38:48,13643,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:39:48,13903,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:40:48,14173,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:41:48,14456,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:42:48,14728,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:43:48,15005,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:44:48,15270,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:45:48,15537,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:46:48,15811,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:47:48,16082,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:48:48,16358,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:49:48,16635,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:50:48,16912,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:51:48,17190,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:52:48,17473,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:53:48,17754,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:54:48,18021,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:55:48,18300,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:56:48,18570,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:57:48,18844,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:58:48,19123,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:59:48,19401,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:00:48,19677,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:01:48,19951,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:02:48,20229,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:03:48,20507,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,0.01,68143b,http://prometheus:9090/api/v1/write
