timestamp,value,metric_name,container,instance,job,namespace,node,pod,resource,uid,unit
2025-07-13 17:49:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:50:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:51:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:52:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:53:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:54:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:55:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:56:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:57:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:58:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:59:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:00:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
