timestamp,value,metric_name,instance,job,lease,lease_holder,namespace,owner_kind,owner_name
2025-07-13 17:51:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:52:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:53:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:54:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:55:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:56:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:57:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:58:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:59:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:00:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:01:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:02:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:03:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:04:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:05:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
